timestamp,type,description,geolocation
1/8/13 1:34,suicide,"nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit amet orci. Ut sagittis lobortis mauris.","8.72782, 165.96291"
6/24/13 16:12,suicide,"ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","46.78581, 34.71682"
11/8/13 12:02,attack,"sem semper erat, in consectetuer ipsum nunc id enim.","4.78027, -22.8113"
11/23/13 16:09,attack,lobortis. Class aptent taciti sociosqu ad,"77.18696, 23.12366"
1/26/13 4:23,suicide,"dis parturient montes, nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla eu","-84.00693, 111.88061"
7/27/13 23:04,attack,"gravida. Aliquam tincidunt, nunc ac mattis","54.70673, 124.17798"
11/21/13 10:00,bomb,"mollis non, cursus non, egestas a, dui. Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros. Nam consequat dolor","-60.25106, 34.48451"
8/8/13 15:25,suicide,"sed dictum eleifend, nunc risus varius orci, in consequat enim diam vel arcu. Curabitur ut odio vel","-29.43289, 127.83184"
12/27/13 20:26,bomb,"sem ut dolor dapibus gravida. Aliquam tincidunt, nunc","-88.71919, 74.30437"
1/4/13 1:34,road block,"rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla eget metus eu erat semper rutrum. Fusce dolor quam,","-55.65271, -3.20439"
11/3/13 4:17,other,"lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam ligula tortor, dictum eu, placerat eget, venenatis","79.90583, -12.67269"
1/12/13 4:47,other,sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in,"60.03265, 75.89563"
10/20/13 13:59,attack,"faucibus leo, in lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis cursus,","13.45373, 96.35724"
3/25/13 19:25,other,"arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor","-26.02041, -172.2187"
9/6/13 13:52,attack,"imperdiet, erat nonummy ultricies ornare,","-17.79207, -8.8156"
9/26/13 15:45,bomb,"tincidunt orci quis lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus","-2.32187, 16.31749"
1/23/13 3:47,attack,"facilisis, magna tellus faucibus leo, in lobortis tellus justo sit amet nulla. Donec non","-54.3965, -31.80359"
